,Country,Country info,Capital,Capital info,Capital hint,Flag,Flag similarity,Map,tags
170,Canada,,Ottawa,,,"<img src=""ug-flag-canada.svg"" />",,"<img src=""ug-map-canada.png"" />",UG::North_America UG::Sovereign_State
171,United States of America,,"Washington, D.C.",,,"<img src=""ug-flag-united_states_of_america.svg"" />",,"<img src=""ug-map-united_states_of_america.png"" />",UG::North_America UG::Sovereign_State
172,Mexico,,Mexico City,,,"<img src=""ug-flag-mexico.png"" />",,"<img src=""ug-map-mexico.png"" />",UG::North_America UG::Sovereign_State
173,Puerto Rico,Unincorporated territory of the United States.,San Juan,,,"<img src=""ug-flag-puerto_rico.svg"" />","Cuba (red triangle, blue stripes)","<img src=""ug-map-puerto_rico.png"" />",UG::Caribbean UG::North_America
174,Cuba,,Havana,,,"<img src=""ug-flag-cuba.svg"" />","Puerto Rico (blue triangle, red stripes)","<img src=""ug-map-cuba.png"" />",UG::Caribbean UG::North_America UG::Sovereign_State
175,Dominican Republic,,Santo Domingo,,,"<img src=""ug-flag-dominican_republic.png"" />",,"<img src=""ug-map-dominican_republic.png"" />",UG::Caribbean UG::North_America UG::Sovereign_State
176,Haiti,,Port-au-Prince,,,"<img src=""ug-flag-haiti.svg"" />",,"<img src=""ug-map-haiti.png"" />",UG::Caribbean UG::North_America UG::Sovereign_State
177,Jamaica,,Kingston,,Sovereign country,"<img src=""ug-flag-jamaica.svg"" />",,"<img src=""ug-map-jamaica.png"" />",UG::Caribbean UG::North_America UG::Sovereign_State
178,Trinidad and Tobago,,Port of Spain,,,"<img src=""ug-flag-trinidad_and_tobago.svg"" />",,"<img src=""ug-map-trinidad_and_tobago.png"" />",UG::Caribbean UG::North_America UG::Sovereign_State
179,Bermuda,Overseas territory of the United Kingdom.,Hamilton,,,"<img src=""ug-flag-bermuda.svg"" />",,"<img src=""ug-map-bermuda.png"" />",UG::Caribbean UG::North_America
180,Guadeloupe,Overseas department of France.,Basse-Terre,,Not a sovereign country,,,"<img src=""ug-map-guadeloupe.png"" />",UG::Caribbean UG::North_America
181,The Bahamas,,Nassau,,,"<img src=""ug-flag-the_bahamas.svg"" />",,"<img src=""ug-map-the_bahamas.png"" />",UG::Caribbean UG::North_America UG::Sovereign_State
182,Barbados,,Bridgetown,,,"<img src=""ug-flag-barbados.svg"" />",,"<img src=""ug-map-barbados.png"" />",UG::Caribbean UG::North_America UG::Sovereign_State
183,Belize,,Belmopan,,,"<img src=""ug-flag-belize.png"" />",,"<img src=""ug-map-belize.png"" />",UG::North_America UG::Sovereign_State
184,Costa Rica,,San José,,,"<img src=""ug-flag-costa_rica.png"" />",,"<img src=""ug-map-costa_rica.png"" />",UG::North_America UG::Sovereign_State
185,El Salvador,,San Salvador,,,"<img src=""ug-flag-el_salvador-blur.png"" /><img src=""ug-flag-el_salvador.png"" />","Nicaragua (different coat of arms, slightly lighter blue)","<img src=""ug-map-el_salvador.png"" />",UG::North_America UG::Sovereign_State
186,Guatemala,,Guatemala City,,,"<img src=""ug-flag-guatemala.png"" />",,"<img src=""ug-map-guatemala.png"" />",UG::North_America UG::Sovereign_State
187,Honduras,,Tegucigalpa,,,"<img src=""ug-flag-honduras.svg"" />",,"<img src=""ug-map-honduras.png"" />",UG::North_America UG::Sovereign_State
188,Nicaragua,,Managua,,,"<img src=""ug-flag-nicaragua-blur.svg"" /><img src=""ug-flag-nicaragua.svg"" />","El Salvador (different coat of arms, slightly darker blue)","<img src=""ug-map-nicaragua.png"" />",UG::North_America UG::Sovereign_State
189,Panama,,Panama City,,,"<img src=""ug-flag-panama.svg"" />",,"<img src=""ug-map-panama.png"" />",UG::North_America UG::Sovereign_State
190,Antigua and Barbuda,,St. John's,,,"<img src=""ug-flag-antigua_and_barbuda.svg"" />",,"<img src=""ug-map-antigua_and_barbuda.png"" />",UG::Caribbean UG::North_America UG::Sovereign_State
191,Dominica,,Roseau,,,"<img src=""ug-flag-dominica.svg"" />",,"<img src=""ug-map-dominica.png"" />",UG::Caribbean UG::North_America UG::Sovereign_State
192,Saint Vincent and the Grenadines,,Kingstown,,,"<img src=""ug-flag-saint_vincent_and_the_grenadines.svg"" />",,"<img src=""ug-map-saint_vincent_and_the_grenadines.png"" />",UG::Caribbean UG::North_America UG::Sovereign_State
193,Somalia,,Mogadishu,,,"<img src=""ug-flag-somalia.svg"" />",,"<img src=""ug-map-somalia.png"" />",UG::Africa UG::East_Africa UG::Sovereign_State
194,Zanzibar,Semi-autonomous region of Tanzania.,Zanzibar City,,,"<img src=""ug-flag-zanzibar.svg"" />",,"<img src=""ug-map-zanzibar.png"" />",UG::Africa
195,Ghana,,Accra,,,"<img src=""ug-flag-ghana.svg"" />",Bolivia (coat of arms instead of star),"<img src=""ug-map-ghana.png"" />",UG::Africa UG::Sovereign_State UG::West_Africa
196,Guinea,,Conakry,,,"<img src=""ug-flag-guinea.svg"" />","Mali (red and green flipped, slightly brighter green)","<img src=""ug-map-guinea.png"" />",UG::Africa UG::Sovereign_State UG::West_Africa
197,New Zealand,,Wellington,,,"<img src=""ug-flag-new_zealand.svg"" />","Australia (white stars, two more stars)","<img src=""ug-map-new_zealand.png"" />",UG::Oceania UG::Sovereign_State
198,French Polynesia,Overseas territory of France.,Papeete,,,"<img src=""ug-flag-french_polynesia.svg"" />",,"<img src=""ug-map-french_polynesia.png"" />",UG::Oceania
199,Philippines,,Manila,,,"<img src=""ug-flag-philippines.svg"" />",,"<img src=""ug-map-philippines.png"" />",UG::Asia UG::Southeast_Asia UG::Sovereign_State
200,Galápagos Islands,Province of Ecuador.,Puerto Baquerizo Moreno,,,"<img src=""ug-flag-galapagos_islands.svg"" />",Sierra Leone (slightly lighter blue),"<img src=""ug-map-galapagos_islands.png"" />",UG::South_America
201,Kosovo,Partially recognised state claimed by Serbia.,Pristina,,,"<img src=""ug-flag-kosovo.svg"" />",,"<img src=""ug-map-kosovo.png"" />",UG::Europe UG::Sovereign_State
